signal coef strat
adx.16 -0.00090048141132369 0
bbands.16 -0.000154114156913852 0
clv.16 0.0101575306696861 0
cmf.16 -0.00320931836896426 0
mfi.16 -0.00010294134923008 0
obv.16 -8.77217856536944e-06 0
roc.16 -0.0619681042130978 0
rsi.16 0.00361653057762494 0
tdi.16 0.0148805940828203 0
trix.16 -0.00488088935824383 0
ulti.osci.16 -0.00121244150332189 0
vhf.16 0.00145358955137422 0
adx.16 -0.000842417813666655 1
aroon.16 -0.000767808648775855 1
bbands.16 -0.00115751876217249 1
cci.16 -0.00118160607648884 1
clv.16 0.000513580200834285 1
wpr.16 -0.000574706971996426 1
pbands.16 0.00153199177978657 1
roc.16 -0.042317682698123 1
rsi.16 0.00971175013732723 1
tdi.16 0.005871862343716 1
trix.16 -0.00258544792173369 1
ulti.osci.16 -0.00340250877761636 1
adx.16 0.000315945218827855 2
aroon.16 0.000409958271882097 2
cci.16 -0.000432974319573763 2
clv.16 0.000702862959206769 2
cmo.16 0.000782643755792495 2
wpr.16 -0.000694729448311609 2
mfi.16 0.00198485220252972 2
pbands.16 -0.0306085909215943 2
roc.16 -0.16279608042606 2
rsi.16 0.00531405064869513 2
stoch.16 0.000110573921554242 2
tdi.16 0.00366210052982593 2
vhf.16 -0.000799803618361978 2
adx.16 0.00310044303175603 3
aroon.16 0.000527298984804946 3
cci.16 -0.00567534912110283 3
cmf.16 0.000801759335291451 3
cmo.16 0.000653152803966934 3
wpr.16 -0.00275090951535741 3
macd.16 -0.00119644397208512 3
mfi.16 0.00132461095672219 3
obv.16 -0.00010005624441036 3
pbands.16 -0.0318207592438492 3
roc.16 -0.149031486091782 3
rsi.16 0.0122862436577989 3
stoch.16 0.00167394905284349 3
trix.16 -0.00143022675626405 3
ulti.osci.16 -0.00848916296556491 3
vhf.16 -0.0034425193410237 3
adx.16 -0.00101915239355076 4
aroon.16 -4.25758092632688e-05 4
bbands.16 -0.00065903788902908 4
cci.16 0.00115763731915886 4
clv.16 0.000535329508011864 4
cmf.16 -0.000737722716827 4
cmo.16 0.000917931120608483 4
wpr.16 -0.000633232049591408 4
mfi.16 0.000116026370846571 4
pbands.16 -0.00308421103440481 4
roc.16 -0.108550474456447 4
rsi.16 0.000654170250014021 4
stoch.16 -0.000236342964084448 4
tdi.16 0.00451967251366039 4
trix.16 -0.000994318201554242 4
ulti.osci.16 0.000111324344378015 4
vhf.16 0.000302223606223837 4
adx.16 -0.000385699776509681 5
bbands.16 -0.000348254198595536 5
clv.16 -0.000344944442907041 5
cmf.16 -2.86340056627594e-05 5
cmo.16 9.61077262088574e-06 5
wpr.16 -0.000421842728862126 5
mfi.16 0.000313139356529679 5
roc.16 -0.0818245931390444 5
rsi.16 0.00224656485117116 5
tdi.16 -0.00037674745423865 5
vhf.16 -0.000346576589080424 5
adx.16 0.00133377777846139 6
aroon.16 0.000336873218751181 6
clv.16 0.00536385391326898 6
macd.16 0.0015101894523346 6
tdi.16 0.00285829701569307 6
vhf.16 0.00143999902512758 6
adx.16 0.00210440764758913 7
aroon.16 0.000552837270506616 7
bbands.16 -0.000580122739384866 7
clv.16 0.0123926434496796 7
cmf.16 -0.00463904001421312 7
wpr.16 -0.00157037942328774 7
mfi.16 -0.00206189793652277 7
pbands.16 0.00252706579399776 7
rsi.16 0.00235486155308931 7
stoch.16 -3.97907938799801e-05 7
tdi.16 0.00374243281033586 7
vhf.16 0.001196679450054 7
aroon.16 -3.82647289254705e-05 8
cci.16 -0.00111712351480917 8
clv.16 -0.000404204220549502 8
cmf.16 0.00206215364608397 8
obv.16 2.06555209638355e-05 8
pbands.16 -0.00071763254895622 8
roc.16 -0.142558239689265 8
rsi.16 0.00725477244158697 8
stoch.16 -0.000522885182339799 8
tdi.16 0.0140347638791295 8
trix.16 -0.00324741130335448 8
vhf.16 0.00177958458340569 8
adx.16 -8.23315396229324e-05 9
clv.16 0.00118928540117752 9
cmo.16 0.00105131754954092 9
wpr.16 -0.000132981004221618 9
roc.16 -0.157085142609209 9
rsi.16 0.00889516360395818 9
stoch.16 -0.000591162241526889 9
tdi.16 -0.00127311405712067 9
vhf.16 -0.000600465461747814 9
